wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d,align=0.925_filtered,MTL0.5,1,"[256, 1, 256, 256]",50,0.5,0.995,0.9792432,0.995,0.90525,0.8724999999999999,0.9525,0.955,1.0,0.9575,0.96,1.0,0.9625,0.965,1.0
wv_3d,align=0.925_filtered,MTL0.8,1,"[256, 1, 256, 256]",50,0.8,0.995,0.97902703,0.995,0.9037500000000002,0.8702500000000001,0.925,0.925,1.0,0.95,0.9525,1.0,0.95,0.9525,1.0
wv_3d,align=0.925_filtered,TN,1,"[256, 1, 256, 256]",50,0.0,0.315,0.9779459,0.995,0.90625,0.8707499999999999,0.97,0.97,1.0,0.9675,0.9675,1.0,0.965,0.965,1.0
wv_3d,align=0.925,MTL0.2,1,"[256, 1, 256, 256]",50,0.2,0.9975,0.9676667,0.96,0.9165,0.8805,0.815,0.8325,1.0,0.875,0.885,1.0,0.9025,0.91,1.0
wv_3d,align=0.925,MTL0.5,1,"[256, 1, 256, 256]",50,0.5,0.9925,0.9663333,0.9875,0.92225,0.892,0.855,0.855,1.0,0.9,0.9,1.0,0.9175,0.9175,1.0
wv_3d,align=0.92_filtered,MTL0.2,1,"[1, 256, 256, 256]",50,0.2,1.0,0.97030133,0.9975,0.91775,0.884,0.9075,0.9075,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0
wv_3d,align=0.925,TN,1,"[256, 1, 256, 256]",50,0.0,0.4225,0.9676667,0.7875,0.923,0.89375,0.8525,0.87,1.0,0.9,0.9125,1.0,0.9225,0.935,1.0
wv_3d,align=0.925,MTL0.8,1,"[256, 1, 256, 256]",50,0.8,0.995,0.963,0.9875,0.90925,0.87675,0.8725,0.875,1.0,0.9025,0.9025,1.0,0.9225,0.92,1.0
wv_3d,align=0.92_filtered,MTL0.8,1,"[1, 256, 256, 256]",50,0.8,1.0,0.9607631,0.9975,0.8889999999999999,0.83825,0.96,0.96,1.0,0.945,0.945,1.0,0.9625,0.9625,1.0
wv_3d,align=0.92_filtered,MTL0.5,1,"[1, 256, 256, 256]",50,0.5,1.0,0.9748537,1.0,0.915,0.883,0.94,0.94,1.0,0.9525,0.9525,1.0,0.95,0.95,1.0
wv_3d,align=0.92_filtered,TN,1,"[1, 256, 256, 256]",50,0.0,0.39,0.97246915,0.9975,0.91875,0.8867499999999999,0.9425,0.9425,1.0,0.9275,0.9275,1.0,0.9325,0.9325,1.0
wv_3d,align=0.92,MTL0.2,1,"[1, 256, 256, 256]",50,0.2,0.9975,0.9711667,0.9725,0.90975,0.8735000000000002,0.865,0.875,1.0,0.905,0.9075,1.0,0.91,0.915,1.0
wv_3d,align=0.92,MTL0.5,1,"[1, 256, 256, 256]",50,0.5,0.995,0.9665,0.99,0.907,0.8695,0.8475,0.8525,1.0,0.8975,0.9025,1.0,0.9075,0.91,1.0
wv_3d,align=0.92,TN,1,"[1, 256, 256, 256]",50,0.0,0.4675,0.97433335,0.8275,0.908,0.8690000000000001,0.86,0.87,1.0,0.895,0.9075,1.0,0.91,0.9225,1.0
wv_3d,align=0.92,MTL0.8,1,"[1, 256, 256, 256]",50,0.8,0.995,0.97316664,0.9975,0.9157499999999998,0.8787499999999999,0.88,0.8825,1.0,0.91,0.9125,1.0,0.925,0.9275,1.0
wv_3d,align=1_filtered,MTL0.2,1,"[1, 1, 1, 1]",50,0.2,0.995,0.9662994,0.995,0.8795000000000002,0.8154999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=1_filtered,MTL0.5,1,"[1, 1, 1, 1]",50,0.5,0.995,0.9697559,0.9975,0.8734999999999999,0.8039999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=1_filtered,MTL0.8,1,"[1, 1, 1, 1]",50,0.8,0.995,0.9697559,0.995,0.875,0.805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
