,name,model,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
143,MTL0.2,MTL,2,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.3,wv_3d_linear_noisy,0.9597989916801452,0.9623115658760072,0.6704355108877723,0.759212730318258,0.745489239692688,0.9698492288589478,0.9798994974874372,0.9547738432884216,0.97,0.3
144,TN,TN,2,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.1,wv_3d_linear_noisy,0.8894472122192383,0.927135705947876,0.7897822445561139,0.9556113902847572,0.8688333034515381,0.5979899764060974,0.9271356783919598,0.8894472122192383,0.97,0.1
145,MTL0.2,MTL,2,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.2,wv_3d_linear_noisy,0.9748743772506714,0.984924614429474,0.6963986599664991,0.7721943048576215,0.8219149708747864,0.984924614429474,0.9874371859296482,0.9698492288589478,0.97,0.2
146,TN,TN,2,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.2,wv_3d_linear_noisy,0.9396985173225404,0.9874371886253356,0.7127303182579565,0.8077889447236181,0.8307144641876221,0.6633166074752808,0.9874371859296482,0.9396985173225404,0.97,0.2
147,MTL0.5,MTL,2,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.2,wv_3d_linear_noisy,0.9020100235939026,0.9874371886253356,0.6876046901172529,0.8919597989949749,0.7121666669845581,0.9874371886253356,0.9899497487437184,0.9045225977897644,0.97,0.2
148,TN,TN,2,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.2,wv_3d_linear_noisy,0.8668341636657715,0.929648220539093,0.7336683417085427,0.9430485762144052,0.7664999961853027,0.5753768682479858,0.9296482412060302,0.8668341636657715,0.97,0.2
149,MTL0.2,MTL,2,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.2,wv_3d_linear_noisy,0.856783926486969,0.8994975090026855,0.7231993299832497,0.9430485762144052,0.7524999976158142,0.8994975090026855,0.9874371859296482,0.8417085409164429,0.97,0.2
150,MTL0.2,MTL,0,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.3,wv_3d_linear_noisy,0.8542713522911072,0.9045225977897644,0.6595477386934673,0.9200167504187604,0.6571666598320007,0.9045225977897644,0.9798994974874372,0.8241205811500549,0.97,0.3
151,MTL0.8,MTL,1,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.2,wv_3d_linear_noisy,0.8894472122192383,0.9874371886253356,0.6461474036850922,0.8919597989949749,0.6838333010673523,0.9874371886253356,0.9798994974874372,0.8844221234321594,0.97,0.2
152,MTL0.8,MTL,2,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.1,wv_3d_linear_noisy,0.9623115658760072,0.984924614429474,0.7202680067001674,0.7847571189279732,0.87651526927948,0.984924614429474,0.984924623115578,0.9623115658760072,0.97,0.1
154,TN,TN,0,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.3,wv_3d_linear_noisy,0.9698492288589478,0.9949748516082764,0.6641541038525963,0.5251256281407035,0.7707492709159851,0.5025125741958618,0.9949748743718592,0.9698492288589478,0.97,0.3
155,MTL0.2,MTL,1,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.3,wv_3d_linear_noisy,0.9547738432884216,0.9874371886253356,0.6453098827470686,0.7550251256281406,0.764168918132782,0.9874371886253356,0.9899497487437184,0.9522613286972046,0.97,0.3
