split_pool,fold,condition,q_a,q_p,q_n,pred,pred_time
dc1,NINO,mtlx_f_d50,img/bm/test/0/47.jpg,img/bm/train/0/36.jpg,img/bm/train/1/137.jpg,0,4.449068
dc1,NINO,mtlx_f_d50,img/bm/test/1/148.jpg,img/bm/train/1/139.jpg,img/bm/train/0/36.jpg,1,1.974045
dc1,NINO,mtlx_f_d50,img/bm/test/1/146.jpg,img/bm/train/1/139.jpg,img/bm/train/0/36.jpg,1,2.136883
dc1,NINO,mtlx_f_d50,img/bm/test/1/197.jpg,img/bm/train/1/175.jpg,img/bm/train/0/83.jpg,1,1.949343
dc1,NINO,mtlx_f_d50,img/bm/test/0/90.jpg,img/bm/train/0/83.jpg,img/bm/train/1/175.jpg,0,2.498847
dc1,NINO,mtlx_f_d50,img/bm/test/1/142.jpg,img/bm/train/1/107.jpg,img/bm/train/0/11.jpg,1,2.290597
dc1,NINO,mtlx_f_d50,img/bm/test/0/40.jpg,img/bm/train/0/35.jpg,img/bm/train/1/110.jpg,0,2.088336
dc1,NINO,mtlx_f_d50,img/bm/test/1/147.jpg,img/bm/train/1/102.jpg,img/bm/train/0/11.jpg,1,2.212021
dc1,NINO,mtlx_f_d50,img/bm/test/1/191.jpg,img/bm/train/1/175.jpg,img/bm/train/0/83.jpg,1,2.154363
dc1,NINO,mtlx_f_d50,img/bm/test/1/143.jpg,img/bm/train/1/137.jpg,img/bm/train/0/36.jpg,1,4.155004
dc1,NINO,mtlx_f_d50,img/bm/test/0/46.jpg,img/bm/train/0/36.jpg,img/bm/train/1/131.jpg,0,2.66096
dc1,NINO,mtlx_f_d50,img/bm/test/0/99.jpg,img/bm/train/0/77.jpg,img/bm/train/1/168.jpg,0,2.606771
dc1,NINO,mtlx_f_d50,img/bm/test/1/198.jpg,img/bm/train/1/175.jpg,img/bm/train/0/83.jpg,1,4.050677
dc1,NINO,mtlx_f_d50,img/bm/test/0/95.jpg,img/bm/train/0/66.jpg,img/bm/train/1/175.jpg,0,3.297115
dc0,RIRO,random,img/bm/test/1/195.jpg,img/bm/train/0/76.jpg,img/bm/train/1/104.jpg,0,-1.0
dc0,RIRO,random,img/bm/test/1/196.jpg,img/bm/train/0/15.jpg,img/bm/train/1/175.jpg,1,5.351458
dc0,RIRO,random,img/bm/test/0/40.jpg,img/bm/train/0/51.jpg,img/bm/train/1/134.jpg,0,3.893589
dc0,RIRO,random,img/bm/test/0/43.jpg,img/bm/train/0/82.jpg,img/bm/train/1/157.jpg,0,6.068887
dc0,RIRO,random,img/bm/test/1/199.jpg,img/bm/train/0/12.jpg,img/bm/train/1/108.jpg,1,5.727488
dc0,RIRO,random,img/bm/test/1/144.jpg,img/bm/train/0/25.jpg,img/bm/train/1/161.jpg,1,8.644911
dc0,RIRO,random,img/bm/test/1/140.jpg,img/bm/train/0/79.jpg,img/bm/train/1/178.jpg,1,12.817498
dc0,RIRO,random,img/bm/test/1/141.jpg,img/bm/train/0/61.jpg,img/bm/train/1/189.jpg,1,11.502098
dc0,RIRO,random,img/bm/test/1/190.jpg,img/bm/train/0/20.jpg,img/bm/train/1/177.jpg,1,3.973789
dc0,RIRO,random,img/bm/test/0/90.jpg,img/bm/train/0/8.jpg,img/bm/train/1/115.jpg,0,3.495898
dc0,RIRO,random,img/bm/test/1/149.jpg,img/bm/train/0/82.jpg,img/bm/train/1/128.jpg,1,5.132788
dc0,RIRO,random,img/bm/test/0/42.jpg,img/bm/train/0/75.jpg,img/bm/train/1/103.jpg,1,14.109638
dc0,RIRO,random,img/bm/test/0/96.jpg,img/bm/train/0/72.jpg,img/bm/train/1/170.jpg,0,4.884897
dc0,RIRO,random,img/bm/test/0/99.jpg,img/bm/train/0/51.jpg,img/bm/train/1/153.jpg,1,11.886591
dc0,RIRO,random,img/bm/test/0/95.jpg,img/bm/train/0/53.jpg,img/bm/train/1/170.jpg,1,7.267204
dc0,RIRO,random,img/bm/test/0/48.jpg,img/bm/train/0/8.jpg,img/bm/train/1/120.jpg,0,6.86309
dc0,RIRO,random,img/bm/test/0/98.jpg,img/bm/train/0/25.jpg,img/bm/train/1/137.jpg,0,7.486648
dc0,RIRO,random,img/bm/test/0/91.jpg,img/bm/train/0/25.jpg,img/bm/train/1/167.jpg,0,8.815376
dc0,RIRO,random,img/bm/test/1/147.jpg,img/bm/train/0/32.jpg,img/bm/train/1/171.jpg,1,6.508851
dc0,RIRO,random,img/bm/test/0/44.jpg,img/bm/train/0/11.jpg,img/bm/train/1/184.jpg,0,4.252466
dc0,RIRO,random,img/bm/test/1/142.jpg,img/bm/train/0/31.jpg,img/bm/train/1/138.jpg,1,4.495165
dc0,RIRO,random,img/bm/test/1/145.jpg,img/bm/train/0/23.jpg,img/bm/train/1/101.jpg,1,4.432926
dc0,RIRO,random,img/bm/test/0/49.jpg,img/bm/train/0/88.jpg,img/bm/train/1/115.jpg,0,3.800091
dc0,RIRO,random,img/bm/test/0/92.jpg,img/bm/train/0/75.jpg,img/bm/train/1/170.jpg,0,6.004365
